"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"278","Site2_13/02/1930","Site2_13/02/1930_A107","Edgar Anderson","sepal width",2.5,"cm"
"279","Site2_13/02/1930","Site2_13/02/1930_A107","Edgar Anderson","petal length",4.5,"cm"
"280","Site2_13/02/1930","Site2_13/02/1930_A107","Edgar Anderson","petal width",1.7,"cm"
"281","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","sepal length",5.8,"cm"
"282","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","sepal width",2.8,"cm"
"283","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","petal length",5.1,"cm"
"284","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","petal width",2.4,"cm"
"285","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","sepal length",6.4,"cm"
"286","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","sepal width",3.2,"cm"
"287","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","petal length",5.3,"cm"
"288","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","petal width",2.3,"cm"
"289","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","sepal length",6.9,"cm"
"290","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","sepal width",3.2,"cm"
"291","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","petal length",5.7,"cm"
"292","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","petal width",2.3,"cm"
"293","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal length",6.2,"cm"
"294","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal width",2.8,"cm"
"295","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal length",4.8,"cm"
"296","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal width",1.8,"cm"
"297","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal length",6.9,"cm"
"298","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal width",3.1,"cm"
"299","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal length",5.4,"cm"
"300","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal width",2.1,"cm"
"301","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal length",6.2,"cm"
"302","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal width",2.8,"cm"
"303","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal length",4.8,"cm"
"304","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal width",1.8,"cm"
"305","Site3_01/12/1929","Site3_01/12/1929_A49","Edgar Anderson","sepal length",5.3,"cm"
"306","Site3_01/12/1929","Site3_01/12/1929_A49","Edgar Anderson","sepal width",3.7,"cm"
"307","Site3_01/12/1929","Site3_01/12/1929_A49","Edgar Anderson","petal length",1.5,"cm"
"308","Site3_01/12/1929","Site3_01/12/1929_A49","Edgar Anderson","petal width",0.2,"cm"
"309","Site3_01/12/1929","Site3_01/12/1929_A100","Edgar Anderson","sepal length",5.7,"cm"
"310","Site3_01/12/1929","Site3_01/12/1929_A100","Edgar Anderson","sepal width",2.8,"cm"
"311","Site3_01/12/1929","Site3_01/12/1929_A100","Edgar Anderson","petal length",4.1,"cm"
"312","Site3_01/12/1929","Site3_01/12/1929_A100","Edgar Anderson","petal width",1.3,"cm"
"313","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal length",4.7,"cm"
"314","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal width",3.2,"cm"
"315","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal length",1.3,"cm"
"316","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal width",0.2,"cm"
"317","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal length",6.9,"cm"
"318","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal width",3.1,"cm"
"319","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal length",5.4,"cm"
"320","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal width",2.1,"cm"
"321","Site3_01/12/1929","Site3_01/12/1929_A133","Edgar Anderson","sepal length",6.4,"cm"
"322","Site3_01/12/1929","Site3_01/12/1929_A133","Edgar Anderson","sepal width",2.8,"cm"
"323","Site3_01/12/1929","Site3_01/12/1929_A133","Edgar Anderson","petal length",5.6,"cm"
"324","Site3_01/12/1929","Site3_01/12/1929_A133","Edgar Anderson","petal width",2.2,"cm"
"325","Site3_13/02/1930","Site3_13/02/1930_A143","Edgar Anderson","sepal length",5.8,"cm"
"326","Site3_13/02/1930","Site3_13/02/1930_A143","Edgar Anderson","sepal width",2.7,"cm"
"327","Site3_13/02/1930","Site3_13/02/1930_A143","Edgar Anderson","petal length",5.1,"cm"
"328","Site3_13/02/1930","Site3_13/02/1930_A143","Edgar Anderson","petal width",1.9,"cm"
"329","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","sepal length",4.6,"cm"
"330","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","sepal width",3.4,"cm"
"331","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","petal length",1.4,"cm"
"332","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","petal width",0.3,"cm"
"333","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal length",6.5,"cm"
"334","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal width",3,"cm"
"335","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal length",5.2,"cm"
"336","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal width",2,"cm"
"337","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","sepal length",5,"cm"
"338","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","sepal width",2.3,"cm"
"339","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","petal length",3.3,"cm"
"340","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","petal width",1,"cm"
"341","Site3_01/12/1929","Site3_01/12/1929_A61","Edgar Anderson","sepal length",5,"cm"
"342","Site3_01/12/1929","Site3_01/12/1929_A61","Edgar Anderson","sepal width",2,"cm"
"343","Site3_01/12/1929","Site3_01/12/1929_A61","Edgar Anderson","petal length",3.5,"cm"
"344","Site3_01/12/1929","Site3_01/12/1929_A61","Edgar Anderson","petal width",1,"cm"
"345","Site1_01/12/1929","Site1_01/12/1929_A9","Edgar Anderson","sepal length",4.4,"cm"
"346","Site1_01/12/1929","Site1_01/12/1929_A9","Edgar Anderson","sepal width",2.9,"cm"
"347","Site1_01/12/1929","Site1_01/12/1929_A9","Edgar Anderson","petal length",1.4,"cm"
"348","Site1_01/12/1929","Site1_01/12/1929_A9","Edgar Anderson","petal width",0.2,"cm"
"349","Site1_01/12/1929","Site1_01/12/1929_A87","Edgar Anderson","sepal length",6.7,"cm"
"350","Site1_01/12/1929","Site1_01/12/1929_A87","Edgar Anderson","sepal width",3.1,"cm"
"351","Site1_01/12/1929","Site1_01/12/1929_A87","Edgar Anderson","petal length",4.7,"cm"
"352","Site1_01/12/1929","Site1_01/12/1929_A87","Edgar Anderson","petal width",1.5,"cm"
"353","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","sepal length",6.9,"cm"
"354","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","sepal width",3.2,"cm"
"355","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","petal length",5.7,"cm"
"356","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","petal width",2.3,"cm"
"357","Site1_01/12/1929","Site1_01/12/1929_A69","Edgar Anderson","sepal length",6.2,"cm"
"358","Site1_01/12/1929","Site1_01/12/1929_A69","Edgar Anderson","sepal width",2.2,"cm"
"359","Site1_01/12/1929","Site1_01/12/1929_A69","Edgar Anderson","petal length",4.5,"cm"
"360","Site1_01/12/1929","Site1_01/12/1929_A69","Edgar Anderson","petal width",1.5,"cm"
"361","Site1_01/12/1929","Site1_01/12/1929_A17","Edgar Anderson","sepal length",5.9,"cm"
"362","Site1_01/12/1929","Site1_01/12/1929_A17","Edgar Anderson","sepal width",3,"cm"
"363","Site1_01/12/1929","Site1_01/12/1929_A17","Edgar Anderson","petal length",5.1,"cm"
"364","Site1_01/12/1929","Site1_01/12/1929_A17","Edgar Anderson","petal width",1.8,"cm"
"365","Site2_13/02/1930","Site2_13/02/1930_A130","Edgar Anderson","sepal length",6.3,"cm"
"366","Site2_13/02/1930","Site2_13/02/1930_A130","Edgar Anderson","sepal width",3.4,"cm"
"367","Site2_13/02/1930","Site2_13/02/1930_A130","Edgar Anderson","petal length",5.6,"cm"
"368","Site2_13/02/1930","Site2_13/02/1930_A130","Edgar Anderson","petal width",2.4,"cm"
"369","Site1_01/12/1929","Site1_01/12/1929_A61","Edgar Anderson","sepal length",5.5,"cm"
"370","Site1_01/12/1929","Site1_01/12/1929_A61","Edgar Anderson","sepal width",2.4,"cm"
"371","Site1_01/12/1929","Site1_01/12/1929_A61","Edgar Anderson","petal length",3.8,"cm"
"372","Site1_01/12/1929","Site1_01/12/1929_A61","Edgar Anderson","petal width",1.1,"cm"
"373","Site3_01/12/1929","Site3_01/12/1929_A38","Edgar Anderson","sepal length",4.8,"cm"
"374","Site3_01/12/1929","Site3_01/12/1929_A38","Edgar Anderson","sepal width",3.1,"cm"
"375","Site3_01/12/1929","Site3_01/12/1929_A38","Edgar Anderson","petal length",1.6,"cm"
"376","Site3_01/12/1929","Site3_01/12/1929_A38","Edgar Anderson","petal width",0.2,"cm"
"377","Site2_13/02/1930","Site2_13/02/1930_A129","Edgar Anderson","sepal length",6.3,"cm"
"378","Site2_13/02/1930","Site2_13/02/1930_A129","Edgar Anderson","sepal width",2.8,"cm"
"379","Site2_13/02/1930","Site2_13/02/1930_A129","Edgar Anderson","petal length",5.1,"cm"
"380","Site2_13/02/1930","Site2_13/02/1930_A129","Edgar Anderson","petal width",1.5,"cm"
"381","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","sepal length",6.8,"cm"
"382","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","sepal width",3,"cm"
"383","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","petal length",5.5,"cm"
"384","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","petal width",2.1,"cm"
"385","Site3_01/12/1929","Site3_01/12/1929_A41","Edgar Anderson","sepal length",5.1,"cm"
"386","Site3_01/12/1929","Site3_01/12/1929_A41","Edgar Anderson","sepal width",3.4,"cm"
"387","Site3_01/12/1929","Site3_01/12/1929_A41","Edgar Anderson","petal length",1.5,"cm"
"388","Site3_01/12/1929","Site3_01/12/1929_A41","Edgar Anderson","petal width",0.2,"cm"
"389","Site1_01/12/1929","Site1_01/12/1929_A66","Edgar Anderson","sepal length",5.7,"cm"
"390","Site1_01/12/1929","Site1_01/12/1929_A66","Edgar Anderson","sepal width",3,"cm"
"391","Site1_01/12/1929","Site1_01/12/1929_A66","Edgar Anderson","petal length",4.2,"cm"
"392","Site1_01/12/1929","Site1_01/12/1929_A66","Edgar Anderson","petal width",1.2,"cm"
"393","Site3_01/12/1929","Site3_01/12/1929_A84","Edgar Anderson","sepal length",6.4,"cm"
"394","Site3_01/12/1929","Site3_01/12/1929_A84","Edgar Anderson","sepal width",3.2,"cm"
"395","Site3_01/12/1929","Site3_01/12/1929_A84","Edgar Anderson","petal length",4.5,"cm"
"396","Site3_01/12/1929","Site3_01/12/1929_A84","Edgar Anderson","petal width",1.5,"cm"
"397","Site3_01/12/1929","Site3_01/12/1929_A137","Edgar Anderson","sepal length",6.7,"cm"
"398","Site3_01/12/1929","Site3_01/12/1929_A137","Edgar Anderson","sepal width",2.5,"cm"
"399","Site3_01/12/1929","Site3_01/12/1929_A137","Edgar Anderson","petal length",5.8,"cm"
"400","Site3_01/12/1929","Site3_01/12/1929_A137","Edgar Anderson","petal width",1.8,"cm"
"401","Site3_01/12/1929","Site3_01/12/1929_A95","Edgar Anderson","sepal length",5.4,"cm"
"402","Site3_01/12/1929","Site3_01/12/1929_A95","Edgar Anderson","sepal width",3,"cm"
"403","Site3_01/12/1929","Site3_01/12/1929_A95","Edgar Anderson","petal length",4.5,"cm"
"404","Site3_01/12/1929","Site3_01/12/1929_A95","Edgar Anderson","petal width",1.5,"cm"
"405","Site3_01/12/1929","Site3_01/12/1929_A146","Edgar Anderson","sepal length",7.7,"cm"
"406","Site3_01/12/1929","Site3_01/12/1929_A146","Edgar Anderson","sepal width",3,"cm"
"407","Site3_01/12/1929","Site3_01/12/1929_A146","Edgar Anderson","petal length",6.1,"cm"
"408","Site3_01/12/1929","Site3_01/12/1929_A146","Edgar Anderson","petal width",2.3,"cm"
"409","Site2_13/02/1930","Site2_13/02/1930_A79","Edgar Anderson","sepal length",6,"cm"
"410","Site2_13/02/1930","Site2_13/02/1930_A79","Edgar Anderson","sepal width",3.4,"cm"
"411","Site2_13/02/1930","Site2_13/02/1930_A79","Edgar Anderson","petal length",4.5,"cm"
"412","Site2_13/02/1930","Site2_13/02/1930_A79","Edgar Anderson","petal width",1.6,"cm"
"413","Site2_13/02/1930","Site2_13/02/1930_A80","Edgar Anderson","sepal length",5.6,"cm"
"414","Site2_13/02/1930","Site2_13/02/1930_A80","Edgar Anderson","sepal width",3,"cm"
"415","Site2_13/02/1930","Site2_13/02/1930_A80","Edgar Anderson","petal length",4.1,"cm"
"416","Site2_13/02/1930","Site2_13/02/1930_A80","Edgar Anderson","petal width",1.3,"cm"
"417","Site1_01/12/1929","Site1_01/12/1929_A53","Edgar Anderson","sepal length",6.3,"cm"
"418","Site1_01/12/1929","Site1_01/12/1929_A53","Edgar Anderson","sepal width",3.3,"cm"
"419","Site1_01/12/1929","Site1_01/12/1929_A53","Edgar Anderson","petal length",4.7,"cm"
"420","Site1_01/12/1929","Site1_01/12/1929_A53","Edgar Anderson","petal width",1.6,"cm"
